Date,Flight Number,From,To,Class,Price,Flow Card,Bags Checked,Meal Type
2024-08-09,PA011,Perth,Tokyo,First Class,512.0,Yes,0,Egg Free
2024-10-27,PA010,Tokyo,New York,Economy,1715.0,Yes,0,Nut Free
2024-06-10,PA009,New York,Tokyo,First Class,517.0,Yes,2,Vegan
2024-12-20,PA006,Tokyo,London,Economy,2725.0,Yes,0,Vegetarian
2024-11-27,PA012,Tokyo,Perth,Economy,2500.0,Yes,1,Dairy Free
2024-03-23,PA009,New York,Tokyo,Economy,2300.0,Yes,1,Dairy Free
2024-07-06,PA003,London,Perth,First Class,305.0,Yes,1,Egg Free
2024-12-05,PA002,New York,London,Business Class,499.2,Yes,0,Vegetarian
2024-07-09,PA012,Tokyo,Perth,Economy,1420.0,Yes,0,Nut Free
2024-03-31,PA006,Tokyo,London,First Class,300.0,Yes,0,
2024-05-06,PA004,Perth,London,First Class,591.0,Yes,3,
2024-04-10,PA001,London,New York,Premium Economy,1042.5,Yes,0,
2024-05-16,PA003,London,Perth,Economy,2925.0,Yes,1,Vegan
2024-12-01,PA008,Perth,New York,First Class,340.0,Yes,1,Egg Free
2024-06-26,PA003,London,Perth,Business Class,463.2,Yes,1,Vegan
2024-12-21,PA001,London,New York,Business Class,325.2,Yes,3,Vegetarian
2024-07-10,PA007,New York,Perth,Economy,1600.0,Yes,1,Vegetarian
2024-12-16,PA006,Tokyo,London,Premium Economy,1582.5,Yes,0,Nut Free
2024-05-23,PA003,London,Perth,Economy,2045.0,Yes,2,
2024-08-14,PA004,Perth,London,Premium Economy,742.5,Yes,2,Vegan
2024-09-19,PA011,Perth,Tokyo,Business Class,332.4,Yes,2,Dairy Free
2024-07-06,PA004,Perth,London,Premium Economy,595.0,Yes,2,Vegan
2024-01-23,PA001,London,New York,Premium Economy,1290.0,Yes,3,Vegan
2024-07-07,PA008,Perth,New York,First Class,348.0,Yes,2,Vegetarian
2024-11-06,PA001,London,New York,Economy,1245.0,Yes,2,
2024-08-19,PA005,London,Tokyo,Business Class,421.2,Yes,0,Nut Free
2024-05-06,PA002,New York,London,Premium Economy,912.5,Yes,0,Dairy Free
2024-12-17,PA011,Perth,Tokyo,First Class,511.0,Yes,1,Dairy Free
2024-07-29,PA011,Perth,Tokyo,Business Class,337.2,Yes,1,Vegan
2024-01-08,PA008,Perth,New York,Economy,3065.0,Yes,1,Vegan
2024-12-29,PA003,London,Perth,Premium Economy,1107.5,Yes,1,
2024-08-29,PA006,Tokyo,London,First Class,476.0,Yes,2,Vegan
2024-04-04,PA012,Tokyo,Perth,Business Class,818.4,Yes,1,Egg Free
2024-08-09,PA010,Tokyo,New York,First Class,665.0,Yes,3,Dairy Free
2024-04-03,PA004,Perth,London,First Class,427.0,Yes,1,
2024-10-06,PA009,New York,Tokyo,Economy,3165.0,Yes,1,
2024-07-14,PA006,Tokyo,London,First Class,630.0,Yes,1,Egg Free
2024-01-05,PA012,Tokyo,Perth,First Class,436.0,Yes,3,Nut Free
2024-03-22,PA007,New York,Perth,Economy,2240.0,Yes,0,Dairy Free
2024-05-25,PA010,Tokyo,New York,Business Class,674.4,Yes,3,
2024-03-20,PA007,New York,Perth,Economy,1170.0,Yes,0,
2024-10-22,PA001,London,New York,Premium Economy,952.5,Yes,1,
2024-12-24,PA005,London,Tokyo,First Class,244.0,Yes,0,Vegetarian
2024-02-01,PA005,London,Tokyo,First Class,586.0,Yes,0,Dairy Free
2024-02-20,PA002,New York,London,Premium Economy,1737.5,Yes,3,Vegan
2024-07-15,PA006,Tokyo,London,Premium Economy,1342.5,Yes,2,Dairy Free
2024-01-07,PA003,London,Perth,Business Class,462.0,Yes,2,
2024-07-11,PA002,New York,London,First Class,494.0,Yes,3,Vegan
2024-01-08,PA007,New York,Perth,Economy,2300.0,Yes,1,Vegetarian
2024-08-19,PA002,New York,London,First Class,213.0,Yes,0,Vegetarian
2024-06-28,PA009,New York,Tokyo,Economy,2850.0,Yes,1,Vegetarian
2024-11-23,PA003,London,Perth,First Class,646.0,Yes,1,Vegan
2024-08-11,PA012,Tokyo,Perth,Premium Economy,1140.0,Yes,2,Egg Free
2024-05-02,PA009,New York,Tokyo,Business Class,706.8,Yes,0,Egg Free
2024-07-18,PA007,New York,Perth,Business Class,709.1999999999999,Yes,2,Nut Free
2024-11-25,PA003,London,Perth,Economy,2155.0,Yes,2,Nut Free
2024-06-10,PA001,London,New York,Premium Economy,665.0,Yes,0,
2024-10-20,PA001,London,New York,Business Class,451.2,Yes,2,Dairy Free
2024-04-16,PA009,New York,Tokyo,Business Class,282.0,Yes,2,Vegan
2024-12-26,PA006,Tokyo,London,Economy,2395.0,Yes,0,Dairy Free
2024-03-26,PA011,Perth,Tokyo,First Class,645.0,Yes,3,Egg Free
2024-06-23,PA007,New York,Perth,First Class,666.0,Yes,1,Egg Free
2024-09-09,PA012,Tokyo,Perth,Business Class,265.2,Yes,1,
2024-08-15,PA006,Tokyo,London,Economy,1515.0,Yes,0,Egg Free
2024-09-09,PA009,New York,Tokyo,Premium Economy,1557.5,Yes,1,Dairy Free
2024-04-07,PA003,London,Perth,Premium Economy,1727.5,Yes,1,
2024-04-30,PA009,New York,Tokyo,Economy,1220.0,Yes,3,Vegetarian
2024-10-28,PA010,Tokyo,New York,Business Class,796.8,Yes,2,Dairy Free
2024-04-16,PA008,Perth,New York,Economy,2235.0,Yes,1,Egg Free
2024-08-27,PA003,London,Perth,First Class,694.0,Yes,0,Dairy Free
2024-02-06,PA012,Tokyo,Perth,Premium Economy,570.0,Yes,2,Dairy Free
2024-09-03,PA009,New York,Tokyo,Premium Economy,840.0,Yes,0,Nut Free
2024-12-31,PA002,New York,London,Premium Economy,677.5,Yes,3,Nut Free
2024-08-28,PA003,London,Perth,Premium Economy,505.0,Yes,3,
2024-10-23,PA001,London,New York,Economy,1155.0,Yes,1,Egg Free
2024-10-02,PA011,Perth,Tokyo,Business Class,679.1999999999999,Yes,3,Nut Free
2024-04-01,PA008,Perth,New York,Premium Economy,1530.0,Yes,1,Vegetarian
2024-05-09,PA002,New York,London,Economy,2585.0,Yes,1,Egg Free
2024-04-25,PA006,Tokyo,London,Economy,1650.0,Yes,3,Egg Free
2024-05-03,PA011,Perth,Tokyo,Business Class,627.6,Yes,2,Egg Free
2024-06-20,PA001,London,New York,First Class,456.0,Yes,3,Vegetarian
2024-10-09,PA012,Tokyo,Perth,Premium Economy,980.0,Yes,1,Egg Free
2024-05-06,PA006,Tokyo,London,Premium Economy,832.5,Yes,3,Egg Free
2024-08-05,PA007,New York,Perth,Economy,1765.0,Yes,1,Vegetarian
2024-10-19,PA002,New York,London,Premium Economy,650.0,Yes,1,Vegan
2024-10-03,PA007,New York,Perth,First Class,694.0,Yes,3,Nut Free
2024-08-24,PA006,Tokyo,London,Premium Economy,1447.5,Yes,3,
2024-11-19,PA005,London,Tokyo,First Class,238.0,Yes,0,Vegetarian
2024-06-19,PA006,Tokyo,London,Economy,1705.0,Yes,2,Dairy Free
2024-09-11,PA004,Perth,London,Premium Economy,922.5,Yes,2,Vegetarian
2024-07-18,PA008,Perth,New York,First Class,395.0,Yes,2,Dairy Free
2024-05-03,PA001,London,New York,First Class,567.0,Yes,2,Vegan
2024-02-07,PA009,New York,Tokyo,Business Class,421.2,Yes,0,Vegetarian
2024-08-06,PA002,New York,London,Business Class,586.8,Yes,1,Vegetarian
2024-12-13,PA009,New York,Tokyo,Business Class,604.8,Yes,1,Vegan
2024-07-04,PA007,New York,Perth,Premium Economy,1080.0,Yes,3,Vegan
2024-07-01,PA004,Perth,London,Economy,1235.0,Yes,1,Vegan
2024-08-13,PA011,Perth,Tokyo,Business Class,768.0,Yes,3,Nut Free
2024-12-16,PA002,New York,London,Premium Economy,620.0,Yes,2,Egg Free
2024-02-28,PA006,Tokyo,London,Economy,1695.0,Yes,0,Dairy Free
2024-11-19,PA002,New York,London,Business Class,375.59999999999997,Yes,0,Nut Free
2024-02-27,PA009,New York,Tokyo,Business Class,369.59999999999997,Yes,1,Dairy Free
2024-02-08,PA006,Tokyo,London,Economy,1310.0,Yes,1,Dairy Free
2024-02-14,PA010,Tokyo,New York,Premium Economy,1107.5,Yes,1,Vegetarian
2024-08-15,PA012,Tokyo,Perth,Business Class,507.59999999999997,Yes,1,Vegan
2024-03-07,PA001,London,New York,Economy,2960.0,Yes,1,Egg Free
2024-10-30,PA010,Tokyo,New York,Business Class,402.0,Yes,2,Nut Free
2024-05-01,PA002,New York,London,First Class,277.0,Yes,3,Dairy Free
2024-12-26,PA008,Perth,New York,Business Class,475.2,Yes,1,Vegan
2024-07-25,PA012,Tokyo,Perth,Economy,3115.0,Yes,2,
2024-09-07,PA009,New York,Tokyo,Economy,3310.0,Yes,0,Vegetarian
2024-07-22,PA006,Tokyo,London,Premium Economy,602.5,Yes,2,
2024-03-14,PA005,London,Tokyo,Premium Economy,1457.5,Yes,3,Dairy Free
2024-08-27,PA007,New York,Perth,Business Class,726.0,Yes,3,Dairy Free
2024-09-23,PA009,New York,Tokyo,Premium Economy,1275.0,Yes,2,Nut Free
2024-10-10,PA002,New York,London,Economy,3000.0,Yes,1,Vegan
2024-06-12,PA009,New York,Tokyo,Premium Economy,1715.0,Yes,0,Vegan
2024-08-31,PA004,Perth,London,First Class,599.0,Yes,0,Egg Free
2024-01-28,PA001,London,New York,Premium Economy,1395.0,Yes,0,Vegetarian
2024-05-26,PA003,London,Perth,Economy,2455.0,Yes,3,Dairy Free
2024-08-28,PA004,Perth,London,Economy,3050.0,Yes,3,Egg Free
2024-01-03,PA011,Perth,Tokyo,Economy,3500.0,Yes,2,Nut Free
2024-12-23,PA006,Tokyo,London,Business Class,480.0,Yes,2,Dairy Free
2024-11-10,PA007,New York,Perth,Premium Economy,1070.0,Yes,3,Vegetarian
2024-03-26,PA003,London,Perth,Business Class,508.79999999999995,Yes,1,Dairy Free
2024-12-14,PA011,Perth,Tokyo,Premium Economy,1310.0,Yes,3,Vegetarian
2024-07-10,PA005,London,Tokyo,Business Class,787.1999999999999,Yes,3,Dairy Free
2024-10-31,PA002,New York,London,First Class,275.0,Yes,1,Nut Free
2024-05-14,PA008,Perth,New York,Premium Economy,1477.5,Yes,1,Nut Free
2024-04-04,PA009,New York,Tokyo,Economy,3175.0,Yes,0,Vegetarian
2024-06-20,PA006,Tokyo,London,First Class,200.0,Yes,2,Dairy Free
2024-02-13,PA004,Perth,London,Premium Economy,752.5,Yes,0,
2024-05-14,PA006,Tokyo,London,Premium Economy,990.0,Yes,2,Egg Free
2024-10-29,PA001,London,New York,First Class,216.0,Yes,0,Nut Free
2024-02-10,PA005,London,Tokyo,First Class,681.0,Yes,1,Vegetarian
2024-08-13,PA008,Perth,New York,First Class,506.0,Yes,2,Nut Free
2024-04-03,PA001,London,New York,Business Class,298.8,Yes,0,Vegan
2024-06-19,PA009,New York,Tokyo,Premium Economy,1275.0,Yes,1,
2024-03-07,PA009,New York,Tokyo,Business Class,332.4,Yes,3,Egg Free
2024-08-30,PA005,London,Tokyo,Economy,3315.0,Yes,3,Nut Free
2024-06-03,PA002,New York,London,Economy,1230.0,Yes,0,Vegetarian
2024-10-01,PA002,New York,London,Economy,2415.0,Yes,0,Vegan
2024-04-24,PA012,Tokyo,Perth,Premium Economy,535.0,Yes,2,Vegan
2024-06-20,PA001,London,New York,Premium Economy,930.0,Yes,0,Vegan
2024-10-09,PA003,London,Perth,Economy,3415.0,Yes,3,Vegetarian
2024-10-20,PA005,London,Tokyo,First Class,514.0,Yes,1,Nut Free
2024-02-15,PA009,New York,Tokyo,Economy,2980.0,Yes,0,
2024-01-15,PA008,Perth,New York,Business Class,502.79999999999995,Yes,3,Vegan
2024-08-16,PA010,Tokyo,New York,Economy,3265.0,Yes,2,Vegetarian
2024-08-02,PA008,Perth,New York,Premium Economy,1550.0,Yes,1,Dairy Free
2024-07-13,PA005,London,Tokyo,Economy,1480.0,Yes,1,Vegetarian
2024-01-27,PA002,New York,London,Business Class,489.59999999999997,Yes,1,
2024-09-19,PA002,New York,London,Premium Economy,635.0,Yes,1,Vegetarian
2024-08-16,PA007,New York,Perth,Premium Economy,757.5,Yes,3,Egg Free
2024-10-15,PA009,New York,Tokyo,Premium Economy,870.0,Yes,0,Dairy Free
2024-03-12,PA007,New York,Perth,Business Class,434.4,Yes,1,Nut Free
2024-04-15,PA003,London,Perth,Business Class,249.6,Yes,3,Egg Free
2024-05-13,PA004,Perth,London,Economy,2785.0,Yes,3,Vegan
2024-08-30,PA005,London,Tokyo,Business Class,811.1999999999999,Yes,3,Vegan
2024-10-01,PA004,Perth,London,First Class,510.0,Yes,1,Vegetarian
2024-05-19,PA010,Tokyo,New York,Premium Economy,1555.0,Yes,2,Egg Free
2024-06-01,PA009,New York,Tokyo,First Class,274.0,Yes,3,Vegetarian
2024-05-11,PA005,London,Tokyo,Business Class,706.8,Yes,1,Egg Free
2024-09-12,PA008,Perth,New York,Economy,1315.0,Yes,0,Dairy Free
2024-08-23,PA011,Perth,Tokyo,Economy,1160.0,Yes,1,Dairy Free
2024-09-23,PA012,Tokyo,Perth,Economy,3495.0,Yes,0,Egg Free
2024-07-27,PA003,London,Perth,Premium Economy,1232.5,Yes,1,
2024-11-22,PA001,London,New York,Economy,1030.0,Yes,1,
2024-05-29,PA010,Tokyo,New York,Economy,2765.0,Yes,3,Dairy Free
2024-02-04,PA008,Perth,New York,Economy,1295.0,Yes,2,Egg Free
2024-09-10,PA012,Tokyo,Perth,Business Class,420.0,Yes,2,Nut Free
2024-12-21,PA002,New York,London,Business Class,379.2,Yes,0,Dairy Free
2024-12-25,PA003,London,Perth,First Class,473.0,Yes,0,
2024-07-15,PA011,Perth,Tokyo,Premium Economy,1670.0,Yes,1,Vegan
2024-12-09,PA003,London,Perth,First Class,602.0,Yes,2,Egg Free
2024-09-20,PA010,Tokyo,New York,First Class,214.0,Yes,3,Dairy Free
2024-12-23,PA009,New York,Tokyo,Premium Economy,952.5,Yes,2,Egg Free
2024-11-28,PA005,London,Tokyo,Economy,2830.0,Yes,3,Vegan
2024-12-03,PA002,New York,London,Business Class,710.4,Yes,1,Dairy Free
2024-03-05,PA004,Perth,London,Economy,2655.0,Yes,2,Egg Free
2024-12-08,PA009,New York,Tokyo,First Class,644.0,Yes,0,Egg Free
2024-07-23,PA004,Perth,London,Economy,1360.0,Yes,3,Nut Free
2024-03-23,PA011,Perth,Tokyo,Premium Economy,572.5,Yes,2,Vegetarian
2024-03-25,PA004,Perth,London,Premium Economy,885.0,Yes,3,Egg Free
2024-05-18,PA008,Perth,New York,First Class,625.0,Yes,2,Egg Free
2024-03-29,PA002,New York,London,Economy,1515.0,Yes,2,
2024-05-29,PA008,Perth,New York,Economy,3435.0,Yes,2,Egg Free
2024-03-16,PA011,Perth,Tokyo,Economy,2305.0,Yes,2,Vegetarian
2024-08-07,PA006,Tokyo,London,Business Class,460.79999999999995,Yes,1,Dairy Free
2024-09-16,PA001,London,New York,Premium Economy,507.5,Yes,0,Nut Free
